City_ID,City,Lat,Lng,Max Temp (C),Humidity,Cloudiness,Wind Speed,Country,Date
124,maturin,9.75,-63.1767,23.610000000000014,97,66,1.54,VE,1684991583
125,atafu village,-8.5421,-172.5159,28.090000000000032,70,78,1.01,TK,1684991583
126,saint-pierre,-21.3393,55.4781,23.82000000000005,73,75,4.63,RE,1684991584
127,margaret river,-33.95,115.0667,15.390000000000043,53,66,4.48,AU,1684991584
128,talagutong,6.2644,125.6678,28.840000000000032,76,98,1.03,PH,1684991584
129,giresun,40.5,38.5,9.439999999999998,56,57,2.82,TR,1684991289
130,birao,10.2849,22.7882,29.060000000000002,33,33,1.73,CF,1684991585
131,nabire,-3.3667,135.4833,29.590000000000032,73,48,1.7,ID,1684991586
132,vorkuta,67.5,64.0,11.629999999999995,77,100,7.09,RU,1684991586
133,ribeira grande,38.5167,-28.7,15.990000000000009,80,15,3.58,PT,1684991586
134,spokoynaya,44.2468,41.4015,18.79000000000002,71,24,1.23,RU,1684991586
135,nuku'alofa,-21.1333,-175.2,23.189999999999998,83,75,2.06,TO,1684991587
136,santa ana,33.7456,-117.8678,17.220000000000027,77,100,3.09,US,1684991587
137,aquin,18.2833,-73.4,25.02000000000004,88,6,1.16,HT,1684991587
138,wailua homesteads,22.0669,-159.378,25.24000000000001,78,75,7.2,US,1684991587
139,kruisfontein,-34.0033,24.7314,14.360000000000014,42,68,1.29,ZA,1684991588
140,koungheul,13.9833,-14.8,30.28000000000003,23,50,3.56,SN,1684991588
141,keflavik,64.0049,-22.5624,6.240000000000009,81,100,11.32,IS,1684991588
142,balqash,46.8481,74.995,22.33000000000004,23,0,6.0,KZ,1684991589
143,coquimbo,-29.9533,-71.3436,11.850000000000023,93,0,1.54,CL,1684991590
144,talnakh,69.4865,88.3972,0.6700000000000159,92,100,2.36,RU,1684991590
145,jamestown,42.097,-79.2353,8.770000000000039,70,0,3.09,US,1684991591
146,aleg,17.0481,-13.9209,28.58000000000004,40,89,5.97,MR,1684991592
147,colomadu,-7.5333,110.75,30.730000000000018,53,0,2.36,ID,1684991592
148,santo antonio,-6.3106,-35.4789,21.640000000000043,97,3,3.06,BR,1684991592
149,portland,45.5234,-122.6762,18.99000000000001,64,0,5.14,US,1684991327
150,wad medani,14.4012,33.5199,34.94,18,2,1.26,SD,1684991593
151,labuan,5.2767,115.2417,29.02000000000004,68,94,0.77,MY,1684991593
152,terme,41.2092,36.9739,17.960000000000036,90,88,1.2,TR,1684991594
153,novohrad-volynskyi,50.5941,27.6165,17.25,72,62,2.11,UA,1684991594
154,beidao,34.5686,105.8933,18.060000000000002,51,100,1.08,CN,1684991595
155,ancud,-41.8697,-73.8203,10.620000000000005,76,96,11.51,CL,1684991595
156,xiantao,30.3833,113.4,26.140000000000043,65,96,2.22,CN,1684991595
157,mahina,-17.5065,-149.489,26.870000000000005,74,20,2.57,PF,1684991596
158,revda,56.801,59.9303,24.80000000000001,30,41,1.7,RU,1684991596
159,port moresby,-9.4431,147.1797,25.680000000000007,94,100,5.14,PG,1684991596
160,nasice,45.4886,18.0878,17.53000000000003,82,8,2.78,HR,1684991597
161,anadyr,64.75,177.4833,3.2800000000000296,74,0,3.0,RU,1684991597
162,aasiaat,68.7098,-52.8699,-5.739999999999952,86,100,3.23,GL,1684991597
163,huanggang,23.677,116.9996,27.07000000000005,78,97,3.26,CN,1684991598
164,isangel,-19.55,169.2667,23.180000000000007,62,69,6.21,VU,1684991598
165,surbo,40.3994,18.1331,17.230000000000018,100,0,1.03,IT,1684991598
166,benghazi,32.1167,20.0667,22.120000000000005,56,85,7.87,LY,1684991599
167,capitan bado,-23.2667,-55.5333,16.439999999999998,75,0,5.56,PY,1684991599
168,gadani,25.1185,66.7299,33.120000000000005,80,18,10.27,PK,1684991599
169,stiens,53.2623,5.7577,11.100000000000023,97,17,2.06,NL,1684991600
